agent,task_id,trial,human_success
agent_confused,trip_05,5,0
agent_long_fail,trip_02,4,1
agent_replay,trip_05,2,0
agent_ref,flight_01,3,1
agent_replay,hotel_01,5,0
agent_confused,trip_05,2,0
agent_ref,event_01,3,1
agent_confused,user_01,3,1
agent_ref,trip_05,4,1
agent_long_fail,trip_03,5,0
agent_replay,event_01,1,0
agent_confused,trip_05,1,0
agent_long_fail,trip_04,3,0
agent_replay,trip_06,3,0
agent_ref,trip_04,5,1
agent_ref,user_01,1,1
agent_confused,trip_02,3,0
agent_long_fail,trip_06,5,0
agent_confused,trip_07,6,0
agent_confused,hotel_01,4,0
agent_long_fail,trip_05,2,1
agent_confused,user_01,4,0
agent_ref,trip_02,1,1
agent_ref,trip_07,6,1
agent_replay,user_01,6,0
agent_ref,trip_06,5,1
agent_ref,trip_07,2,1
agent_ref,weather_01,1,1
agent_ref,weather_01,3,1
agent_confused,trip_01,6,0
agent_confused,flight_01,1,0
agent_confused,flight_01,2,0
agent_long_fail,weather_01,5,1
agent_long_fail,flight_01,5,1
agent_confused,event_01,6,0
agent_replay,trip_06,1,0
agent_confused,trip_01,3,0
agent_confused,event_01,5,0
agent_long_fail,trip_04,5,0
agent_long_fail,user_01,3,1
agent_ref,user_01,6,1
agent_long_fail,trip_02,5,1
agent_long_fail,trip_07,3,1
agent_confused,weather_01,3,1
agent_confused,trip_06,4,0
agent_ref,trip_01,4,1
agent_long_fail,event_01,2,1
agent_long_fail,user_01,5,0
agent_ref,weather_01,2,1
agent_long_fail,event_01,6,1
agent_long_fail,flight_01,3,1
agent_long_fail,trip_02,2,1
agent_long_fail,flight_01,1,1
agent_replay,trip_01,1,0
agent_long_fail,flight_01,6,1
agent_confused,hotel_01,5,1
agent_replay,event_01,2,0
agent_confused,hotel_01,1,1
agent_ref,event_01,6,1
agent_confused,trip_05,6,1
